user,project_name,namespace,url
AIworx-Labs,chocolate,tests/test_random.py,https://github.com/AIworx-Labs/chocolate
AIworx-Labs,chocolate,tests/test_thompson.py,https://github.com/AIworx-Labs/chocolate
AIworx-Labs,chocolate,tests/test_connection.py,https://github.com/AIworx-Labs/chocolate
AIworx-Labs,chocolate,tests/test_quasirandom.py,https://github.com/AIworx-Labs/chocolate
AIworx-Labs,chocolate,tests/test_cmaes.py,https://github.com/AIworx-Labs/chocolate
ASMfreaK,habitipy,tests/test_cli.py,https://github.com/ASMfreaK/habitipy
AnemoneLabs,unmessage,tests/test_elements.py,https://github.com/AnemoneLabs/unmessage
AnemoneLabs,unmessage,tests/test_packets.py,https://github.com/AnemoneLabs/unmessage
Apress,clean-python,chapter08/hypothesis_use_for_property_testing.py,https://github.com/Apress/clean-python
Arachnid,pyqrencode,tests/test_encode.py,https://github.com/Arachnid/pyqrencode
Axelrod-Python,Axelrod,axelrod/tests/strategies/test_titfortat.py,https://github.com/Axelrod-Python/Axelrod
Axelrod-Python,Axelrod,axelrod/tests/integration/test_filtering.py,https://github.com/Axelrod-Python/Axelrod
Axelrod-Python,Axelrod,axelrod/tests/unit/test_moran.py,https://github.com/Axelrod-Python/Axelrod
Axelrod-Python,Axelrod,axelrod/tests/unit/test_resultset.py,https://github.com/Axelrod-Python/Axelrod
Axelrod-Python,Axelrod,axelrod/tests/strategies/test_player.py,https://github.com/Axelrod-Python/Axelrod
Axelrod-Python,Axelrod,axelrod/tests/unit/test_tournament.py,https://github.com/Axelrod-Python/Axelrod
Axelrod-Python,Axelrod,axelrod/tests/strategies/test_meta.py,https://github.com/Axelrod-Python/Axelrod
Axelrod-Python,Axelrod,axelrod/tests/integration/test_matches.py,https://github.com/Axelrod-Python/Axelrod
Axelrod-Python,Axelrod,axelrod/tests/property.py,https://github.com/Axelrod-Python/Axelrod
Axelrod-Python,Axelrod,axelrod/tests/unit/test_fingerprint.py,https://github.com/Axelrod-Python/Axelrod
Axelrod-Python,Axelrod,axelrod/tests/unit/test_strategy_utils.py,https://github.com/Axelrod-Python/Axelrod
Axelrod-Python,Axelrod,axelrod/tests/unit/test_match.py,https://github.com/Axelrod-Python/Axelrod
Axelrod-Python,Axelrod,axelrod/tests/integration/test_tournament.py,https://github.com/Axelrod-Python/Axelrod
Axelrod-Python,Axelrod,axelrod/tests/unit/test_match_generator.py,https://github.com/Axelrod-Python/Axelrod
Axelrod-Python,Axelrod,axelrod/tests/unit/test_property.py,https://github.com/Axelrod-Python/Axelrod
Axelrod-Python,Axelrod,axelrod/tests/unit/test_filters.py,https://github.com/Axelrod-Python/Axelrod
Axelrod-Python,Axelrod,axelrod/tests/unit/test_game.py,https://github.com/Axelrod-Python/Axelrod
BBVA,apicheck,tools/curl/test/test_parse_hypothesis.py,https://github.com/BBVA/apicheck
BIGBALLON,Caffe2-Tutorial,05_cifar10_multi_gpu/test.py,https://github.com/BIGBALLON/Caffe2-Tutorial
BitBotFactory,MikaLendingBot,tests/test_MarketAnalysis.py,https://github.com/BitBotFactory/MikaLendingBot
BurnySc2,python-sc2,test/benchmark_distances_points_to_point.py,https://github.com/BurnySc2/python-sc2
BurnySc2,python-sc2,test/test_pickled_ramp.py,https://github.com/BurnySc2/python-sc2
BurnySc2,python-sc2,test/test_pickled_data.py,https://github.com/BurnySc2/python-sc2
BurnySc2,python-sc2,test/benchmark_distances_cdist.py,https://github.com/BurnySc2/python-sc2
BurnySc2,python-sc2,test/benchmark_distances_units.py,https://github.com/BurnySc2/python-sc2
BurnySc2,python-sc2,test/benchmark_array_creation.py,https://github.com/BurnySc2/python-sc2
BurnySc2,python-sc2,test/benchmark_distance_two_points.py,https://github.com/BurnySc2/python-sc2
CiwPython,Ciw,ciw/tests/test_simulation.py,https://github.com/CiwPython/Ciw
CiwPython,Ciw,ciw/tests/test_sampling.py,https://github.com/CiwPython/Ciw
CiwPython,Ciw,ciw/tests/test_auxiliary.py,https://github.com/CiwPython/Ciw
CiwPython,Ciw,ciw/tests/test_network.py,https://github.com/CiwPython/Ciw
CiwPython,Ciw,ciw/tests/test_node.py,https://github.com/CiwPython/Ciw
CiwPython,Ciw,ciw/tests/test_server.py,https://github.com/CiwPython/Ciw
CiwPython,Ciw,ciw/tests/test_individual.py,https://github.com/CiwPython/Ciw
CiwPython,Ciw,ciw/tests/test_data_record.py,https://github.com/CiwPython/Ciw
ClusterHQ,flocker,flocker/dockerplugin/test/test_api.py,https://github.com/ClusterHQ/flocker
ClusterHQ,flocker,flocker/control/test/test_diffing.py,https://github.com/ClusterHQ/flocker
ClusterHQ,flocker,flocker/control/testtools.py,https://github.com/ClusterHQ/flocker
ClusterHQ,flocker,flocker/testtools/_testhelpers.py,https://github.com/ClusterHQ/flocker
ClusterHQ,dvol,dvol_python/__init__.py,https://github.com/ClusterHQ/dvol
ClusterHQ,flocker,flocker/control/test/test_persistence.py,https://github.com/ClusterHQ/flocker
ClusterHQ,flocker,flocker/common/test/test_algebraic.py,https://github.com/ClusterHQ/flocker
ClusterHQ,flocker,admin/test/test_merge_pr.py,https://github.com/ClusterHQ/flocker
ClusterHQ,flocker,flocker/testtools/test/test_flaky.py,https://github.com/ClusterHQ/flocker
ClusterHQ,flocker,admin/test/test_release.py,https://github.com/ClusterHQ/flocker
ClusterHQ,flocker,flocker/common/algebraic.py,https://github.com/ClusterHQ/flocker
ClusterHQ,flocker,flocker/testtools/test/test_matchers.py,https://github.com/ClusterHQ/flocker
ClusterHQ,flocker,flocker/testtools/test/test_base.py,https://github.com/ClusterHQ/flocker
ClusterHQ,flocker,flocker/acceptance/endtoend/test_dockerplugin.py,https://github.com/ClusterHQ/flocker
ClusterHQ,flocker,flocker/node/agents/test/test_blockdevice.py,https://github.com/ClusterHQ/flocker
ClusterHQ,flocker,flocker/node/test/test_loop.py,https://github.com/ClusterHQ/flocker
ClusterHQ,flocker,flocker/common/test/test_retry.py,https://github.com/ClusterHQ/flocker
ClusterHQ,flocker,flocker/node/agents/test/test_ebs.py,https://github.com/ClusterHQ/flocker
ClusterHQ,flocker,flocker/node/agents/test/strategies.py,https://github.com/ClusterHQ/flocker
ClusterHQ,flocker,flocker/control/test/test_model.py,https://github.com/ClusterHQ/flocker
ContinuumIO,cyberpandas,tests/ip/test_ip_pandas.py,https://github.com/ContinuumIO/cyberpandas
ContinuumIO,cyberpandas,tests/ip/test_ip.py,https://github.com/ContinuumIO/cyberpandas
CyberAgent,cmaes,fuzzing.py,https://github.com/CyberAgent/cmaes
CyberAgent,cmaes,tests/test_fuzzing.py,https://github.com/CyberAgent/cmaes
DIRACGrid,DIRAC,src/DIRAC/Core/Utilities/test/Test_Encode.py,https://github.com/DIRACGrid/DIRAC
DIRACGrid,DIRAC,tests/Integration/TornadoServices/Test_TornadoAndDISETmixed.py,https://github.com/DIRACGrid/DIRAC
DIRACGrid,DIRAC,src/DIRAC/Core/Security/test/Test_X509Chain.py,https://github.com/DIRACGrid/DIRAC
DIRACGrid,DIRAC,src/DIRAC/Core/Utilities/test/Test_File.py,https://github.com/DIRACGrid/DIRAC
DRMacIver,schroedinteger,tests/test_bitwise.py,https://github.com/DRMacIver/schroedinteger
DRMacIver,schroedinteger,tests/test_insertion.py,https://github.com/DRMacIver/schroedinteger
DRMacIver,schroedinteger,tests/test_arithmetic.py,https://github.com/DRMacIver/schroedinteger
DRMacIver,structureshrink,tests/test_shrinking.py,https://github.com/DRMacIver/structureshrink
DRMacIver,minithesis,test_minithesis.py,https://github.com/DRMacIver/minithesis
DRMacIver,schroedinteger,tests/test_quack.py,https://github.com/DRMacIver/schroedinteger
